id,title,rate_per_hour,skill_list,level,location_city,employment_type,company_sector
1,Software Engineer,8.64,"CI/CD, Pandas, REST API",Junior,Yerevan,Full-time,FinTech
2,Frontend Developer,15.72,"Git, Python, REST API, Vue, Terraform, Pandas, Docker",Mid,Yerevan,Full-time,FinTech
3,Data Scientist,18.74,"MongoDB, PostgreSQL, JavaScript, Vue, Scikit-learn, FastAPI",Mid,Yerevan,Part-time,FinTech
4,Frontend Developer,22.86,"Pandas, Kubernetes, REST API",Mid,Yerevan,Full-time,HealthTech
5,Frontend Developer,36.98,"AWS, GraphQL, Vue, SQL, Flask, Django, Node.js",Lead,Yerevan,Full-time,Gaming
6,DevOps Engineer,53.25,"Kubernetes, Terraform, AWS, React, Vue",Lead,Vanadzor,Part-time,E-commerce
7,Software Engineer,6.5,"REST API, Pandas, Node.js, React",Junior,Remote,Full-time,EdTech
8,Machine Learning Engineer,22.29,"CI/CD, MongoDB, NumPy, Django",Mid,Remote,Full-time,EdTech
9,Data Scientist,46.21,"GraphQL, SQL, MongoDB, Vue",Senior,Gyumri,Full-time,Software
10,Software Engineer,17.23,"JavaScript, Node.js, Pandas, REST API, PostgreSQL",Mid,Vanadzor,Full-time,FinTech
11,Product Engineer,19.58,"Redis, Flask, Django, FastAPI, JavaScript, Terraform, React",Mid,Yerevan,Full-time,FinTech
12,Software Engineer,20.17,"PostgreSQL, REST API, Python, CI/CD, FastAPI, NumPy, Scikit-learn",Mid,Yerevan,Full-time,E-commerce
13,Software Engineer,19.89,"Celery, NumPy, React, FastAPI, Terraform",Mid,Yerevan,Full-time,Software
14,DevOps Engineer,35.35,"REST API, NumPy, Celery, Python",Senior,Yerevan,Full-time,HealthTech
15,Product Engineer,12.84,"Django, Node.js, GraphQL, Flask",Mid,Yerevan,Part-time,HealthTech
16,Frontend Developer,26.64,"JavaScript, CI/CD, Redis, REST API",Senior,Gyumri,Contract,EdTech
17,Fullstack Developer,10.14,"NumPy, Pandas, SQL, Vue, MySQL, GCP, AWS",Junior,Vanadzor,Full-time,FinTech
18,Machine Learning Engineer,46.12,"Python, GraphQL, REST API, Node.js, Flask",Senior,Yerevan,Full-time,Software
19,Software Engineer,6.4,"Celery, Node.js, PostgreSQL",Junior,Yerevan,Full-time,HealthTech
20,Software Engineer,21.25,"Redis, Node.js, Scikit-learn, Docker, Vue, FastAPI, Terraform",Mid,Yerevan,Full-time,EdTech
21,Software Engineer,19.62,"CI/CD, Terraform, FastAPI",Mid,Yerevan,Full-time,Gaming
22,Backend Developer,18.15,"Vue, REST API, Kubernetes, JavaScript",Mid,Yerevan,Part-time,FinTech
23,Mobile Developer,12.02,"Scikit-learn, REST API, FastAPI, Django, Terraform, NumPy",Junior,Yerevan,Part-time,Software
24,Backend Developer,99.37,"Redis, Scikit-learn, Vue, GCP, Django, React",Lead,Remote,Full-time,FinTech
25,Mobile Developer,3.09,"Docker, SQL, Pandas, Scikit-learn, REST API",Intern,Yerevan,Part-time,E-commerce
26,Software Engineer,27.76,"Pandas, REST API, Django, MongoDB, Scikit-learn, CI/CD, GraphQL",Senior,Yerevan,Full-time,Software
27,Machine Learning Engineer,24.13,"React, Flask, Git",Mid,Vanadzor,Full-time,EdTech
28,Frontend Developer,16.83,"GraphQL, Git, Django, Flask",Mid,Yerevan,Full-time,EdTech
29,Mobile Developer,15.2,"CI/CD, SQL, MongoDB, Node.js",Mid,Yerevan,Full-time,HealthTech
30,DevOps Engineer,28.98,"Python, Kubernetes, Git",Mid,Yerevan,Full-time,HealthTech
31,Product Engineer,73.16,"AWS, Flask, Node.js, MySQL",Lead,Yerevan,Full-time,HealthTech
32,Fullstack Developer,12.83,"Python, CI/CD, REST API, MySQL, NumPy, FastAPI, JavaScript",Mid,Yerevan,Full-time,Gaming
33,DevOps Engineer,12.39,"Git, Vue, SQL, MongoDB, CI/CD",Junior,Yerevan,Full-time,HealthTech
34,Software Engineer,28.93,"Terraform, Docker, PostgreSQL",Senior,Yerevan,Full-time,Software
35,Backend Developer,4.29,"Pandas, Kubernetes, REST API, SQL",Intern,Gyumri,Full-time,HealthTech
36,Mobile Developer,18.83,"REST API, Django, AWS, GraphQL",Mid,Yerevan,Part-time,Gaming
37,Site Reliability Engineer,12.46,"Vue, CI/CD, Node.js, FastAPI, AWS",Junior,Yerevan,Full-time,Software
38,Site Reliability Engineer,58.75,"React, Scikit-learn, Docker, Python",Senior,Yerevan,Full-time,FinTech
39,Fullstack Developer,49.29,"PostgreSQL, React, Scikit-learn, SQL",Senior,Yerevan,Part-time,Gaming
